,cod_mun,formacion,value_prtg
78,08015,Educació primària o inferior,"21,0"
79,08904,Educació primària o inferior,"21,9"
90,08019,Educació primària o inferior,"14,8"
96,08020,Educació primària o inferior,"9,6"
203,08056,Educació primària o inferior,"12,7"
226,08266,Educació primària o inferior,"14,5"
250,08073,Educació primària o inferior,"20,6"
269,08077,Educació primària o inferior,"18,8"
323,08089,Educació primària o inferior,"16,0"
356,08101,Educació primària o inferior,"23,1"
378,08105,Educació primària o inferior,"23,1"
451,08125,Educació primària o inferior,"19,4"
458,08126,Educació primària o inferior,"12,5"
521,08157,Educació primària o inferior,"14,6"
526,08158,Educació primària o inferior,"12,9"
621,08180,Educació primària o inferior,"18,3"
643,08187,Educació primària o inferior,"19,0"
653,08194,Educació primària o inferior,"21,5"
661,08200,Educació primària o inferior,"19,5"
665,08204,Educació primària o inferior,"13,5"
667,08205,Educació primària o inferior,"8,4"
675,08211,Educació primària o inferior,"16,8"
694,08217,Educació primària o inferior,"16,4"
701,08221,Educació primària o inferior,"11,6"
740,08244,Educació primària o inferior,"13,2"
742,08245,Educació primària o inferior,"26,6"
785,08270,Educació primària o inferior,"11,4"
816,08282,Educació primària o inferior,"9,1"
839,08289,Educació primària o inferior,"11,0"
897,08301,Educació primària o inferior,"18,2"
1025,08015,Primera etapa d’educació secundària i similar,"31,9"
1026,08904,Primera etapa d’educació secundària i similar,"44,5"
1037,08019,Primera etapa d’educació secundària i similar,"18,1"
1043,08020,Primera etapa d’educació secundària i similar,"17,7"
1150,08056,Primera etapa d’educació secundària i similar,"19,7"
1173,08266,Primera etapa d’educació secundària i similar,"26,6"
1197,08073,Primera etapa d’educació secundària i similar,"30,1"
1216,08077,Primera etapa d’educació secundària i similar,"24,3"
1270,08089,Primera etapa d’educació secundària i similar,"27,7"
1303,08101,Primera etapa d’educació secundària i similar,"29,1"
1325,08105,Primera etapa d’educació secundària i similar,"37,3"
1398,08125,Primera etapa d’educació secundària i similar,"31,7"
1405,08126,Primera etapa d’educació secundària i similar,"22,4"
1468,08157,Primera etapa d’educació secundària i similar,"25,0"
1473,08158,Primera etapa d’educació secundària i similar,"26,4"
1568,08180,Primera etapa d’educació secundària i similar,"34,9"
1590,08187,Primera etapa d’educació secundària i similar,"29,9"
1600,08194,Primera etapa d’educació secundària i similar,"28,9"
1608,08200,Primera etapa d’educació secundària i similar,"31,3"
1612,08204,Primera etapa d’educació secundària i similar,"24,5"
1614,08205,Primera etapa d’educació secundària i similar,"11,7"
1622,08211,Primera etapa d’educació secundària i similar,"27,2"
1641,08217,Primera etapa d’educació secundària i similar,"24,5"
1648,08221,Primera etapa d’educació secundària i similar,"13,3"
1687,08244,Primera etapa d’educació secundària i similar,"22,4"
1689,08245,Primera etapa d’educació secundària i similar,"33,0"
1732,08270,Primera etapa d’educació secundària i similar,"14,9"
1763,08282,Primera etapa d’educació secundària i similar,"12,9"
1786,08289,Primera etapa d’educació secundària i similar,"21,0"
1844,08301,Primera etapa d’educació secundària i similar,"29,5"
1972,08015,Segona etapa d’educació secundària i similar,"23,0"
1973,08904,Segona etapa d’educació secundària i similar,"19,8"
1984,08019,Segona etapa d’educació secundària i similar,"23,2"
1990,08020,Segona etapa d’educació secundària i similar,"26,8"
2097,08056,Segona etapa d’educació secundària i similar,"26,2"
2120,08266,Segona etapa d’educació secundària i similar,"22,9"
2144,08073,Segona etapa d’educació secundària i similar,"22,0"
2163,08077,Segona etapa d’educació secundària i similar,"23,3"
2217,08089,Segona etapa d’educació secundària i similar,"25,1"
2250,08101,Segona etapa d’educació secundària i similar,"23,8"
2272,08105,Segona etapa d’educació secundària i similar,"22,1"
2345,08125,Segona etapa d’educació secundària i similar,"22,8"
2352,08126,Segona etapa d’educació secundària i similar,"26,1"
2415,08157,Segona etapa d’educació secundària i similar,"24,5"
2420,08158,Segona etapa d’educació secundària i similar,"27,8"
2515,08180,Segona etapa d’educació secundària i similar,"22,2"
2537,08187,Segona etapa d’educació secundària i similar,"23,0"
2547,08194,Segona etapa d’educació secundària i similar,"27,1"
2555,08200,Segona etapa d’educació secundària i similar,"24,2"
2559,08204,Segona etapa d’educació secundària i similar,"25,8"
2561,08205,Segona etapa d’educació secundària i similar,"20,8"
2569,08211,Segona etapa d’educació secundària i similar,"23,0"
2588,08217,Segona etapa d’educació secundària i similar,"22,8"
2595,08221,Segona etapa d’educació secundària i similar,"20,1"
2634,08244,Segona etapa d’educació secundària i similar,"25,2"
2636,08245,Segona etapa d’educació secundària i similar,"22,1"
2679,08270,Segona etapa d’educació secundària i similar,"27,4"
2710,08282,Segona etapa d’educació secundària i similar,"27,2"
2733,08289,Segona etapa d’educació secundària i similar,"26,0"
2791,08301,Segona etapa d’educació secundària i similar,"24,5"
2919,08015,Educació superior,"24,1"
2920,08904,Educació superior,"13,8"
2931,08019,Educació superior,"43,9"
2937,08020,Educació superior,"45,8"
3044,08056,Educació superior,"41,4"
3067,08266,Educació superior,"36,0"
3091,08073,Educació superior,"27,3"
3110,08077,Educació superior,"33,6"
3164,08089,Educació superior,"31,2"
3197,08101,Educació superior,"24,1"
3219,08105,Educació superior,"17,5"
3292,08125,Educació superior,"26,1"
3299,08126,Educació superior,"39,0"
3362,08157,Educació superior,"35,9"
3367,08158,Educació superior,"33,0"
3462,08180,Educació superior,"24,5"
3484,08187,Educació superior,"28,1"
3494,08194,Educació superior,"22,5"
3502,08200,Educació superior,"25,1"
3506,08204,Educació superior,"36,2"
3508,08205,Educació superior,"59,1"
3516,08211,Educació superior,"33,0"
3535,08217,Educació superior,"36,3"
3542,08221,Educació superior,"55,0"
3581,08244,Educació superior,"39,3"
3583,08245,Educació superior,"18,2"
3626,08270,Educació superior,"46,3"
3657,08282,Educació superior,"50,7"
3680,08289,Educació superior,"41,9"
3738,08301,Educació superior,"27,7"
